URL,Restaurante,Endereco,Bairro,Cidade,UF,CEP,Data_Scraping
https://www.ifood.com.br/delivery/uberlandia-mg/to-com-fome-delivery-presidente-roosevelt/9be323c9-fda2-4f12-bbf0-ce2db5789d4e,To Com Fome Delivery,"Rua Ordália Carneiro Oliveira, 130",Presidente Roosevelt,Uberlandia,MG,38401-190,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/quitandinha---bolos-e-doces-santa-monica/ba72b1fa-3888-4f15-a544-4b9d9b54178a,Quitandinha - Bolos e Doces,"Rua José Miguel Saramago, 1333",Santa Mônica,Uberlandia,MG,38408-222,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/ki-delicia-acai-pacaembu/4c1ccac7-6ad3-4634-9ea9-ca5903be245e,Ki delicia Açaí,"Rua 7 de Setembro, 13",Pacaembu,Uberlandia,MG,38401-543,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cio-gelato---sorvetes--sobremesas-jardim-karaiba/f019610d-5d80-4563-b914-22320cd42b30,Ciò Gelato - Sorvetes & Sobremesas,"Rua Rafael Marino Neto, 180",Jardim Karaíba,Uberlandia,MG,38411-186,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/la-churros-caldos-e-macarrao-brasil/22c3dd7d-48d0-4c51-84d5-d46512fb5f23,"La Churros, Caldos e Macarrão","Rua Espírito Santo, 1434",Brasil,Uberlandia,MG,38400-660,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/tortas-da-solange-tibery/d9cc2de9-de35-45c4-aee1-8089473d1ecc,Tortas da Solange,"Avenida Anselmo Alves dos Santos, 1111",Tibery,Uberlandia,MG,38405-167,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/primax-pastelaria-jardim-das-palmeiras/0af7f796-1706-4032-9eed-e086bc3a69d0,Primax Pastelaria,"Avenida Getúlio Vargas, 4867",Jardim das Palmeiras,Uberlandia,MG,38412-316,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/bertinas-bar-e-espetaria-tubalina/5ce88af2-6952-4961-a500-f34f49416429,Bertina's Bar e Espetaria,"Av. Getúlio Vargas, 2860",Tubalina,Uberlandia,MG,38413-023,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cantinho-da-coxinha-planalto-planalto/fa45ac26-d23f-4a0c-94c4-0d5161f2576a,Cantinho da Coxinha Planalto,"Rua Joaquim Leal de Camargos, 560",Planalto,Uberlandia,MG,38413-303,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cris-cakes-doceria-laranjeiras/9af2c00b-e1ca-43aa-9a33-5fdaf9b7e369,Cris Cakes Doceria,"Rua Dolorita Elias do Nascimento, 430",Laranjeiras,Uberlandia,MG,38410-239,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/copacabana-pizza-morada-da-colina/9ad6b51f-bfeb-494e-9be7-4fb0d8662479,Copacabana Pizza,"R da Carioca, 809",Morada da Colina,Uberlandia,MG,38411-151,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/sorveteria-sol--neve-centro-centro/a5f8d517-1fb0-4939-af33-1e49e0b73079,Sorveteria Sol & Neve Centro,"Avenida Floriano Peixoto, 140",Centro,Uberlandia,MG,38400-704,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/trem-bao-paodequeijaria-fundinho/8c5f9db6-758c-45a9-976c-a405b71334b8,Trem Bão Pãodequeijaria,"Pr. Cícero Macedo, 36",Fundinho,Uberlandia,MG,38400-216,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/delicias-da-dona-maria-luizote-de-freitas/c813b5e8-2f22-46d2-ace7-4f8eae811555,Delícias da Dona Maria,"R. Sebastião Silveira Santos, 121",Luizote de Freitas,Uberlandia,MG,38414-306,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/douce-magie-confeitaria-pres-roosevelt/efe42137-2f70-4736-8357-ee0621476c88,Douce Magie Confeitaria,"R. Rodrigues da Cunha, 1645",Pres. Roosevelt,Uberlandia,MG,38401-013,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/showrrasquinho-udi---espetinhos-presidente-roosevelt/5d720f03-33d6-4af3-b30b-e46949926447,Showrrasquinho Udi - Espetinhos,"Avenida Atlântica, 349",Presidente Roosevelt,Uberlandia,MG,38401-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/doces-da-manina-luizote-de-freitas/2c77a211-51f4-44af-a7f3-1320037d9bf0,Doces Da Manina,"Rua Adomervil Moreira de Miranda, 786",Luizote de Freitas,Uberlandia,MG,38414-300,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/doceria-delicias-gourmet-jardim-brasilia/423f4090-4fb0-4e27-aede-c34c948d40d7,Doceria Delicias Gourmet,"Rua Estrela Dalva, 785",Jardim Brasília,Uberlandia,MG,38401-428,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/barao-do-peixe--restaurante--saraiva/ac3892d2-20b8-4d2b-b8ac-a5519c923060,Barão do Peixe  Restaurante ✅,"Rua Tamôios, 521",Saraiva,Uberlandia,MG,38408-410,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/leide-comida-caseira-jardim-canaa/b25b1fae-fcf0-43d2-840c-768578d8c366,Leide Comida Caseira,"Rua Baicker Bernardino, 490",Jardim Canaã,Uberlandia,MG,38412-498,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/detroit-conveniencia-nossa-senhora-aparecida/9a239c31-3a4a-48bc-88a9-9fdd19d9d25c,Detroit Conveniência,"Avenida Afonso Pena, 1673",Nossa Senhora Aparecida,Uberlandia,MG,38400-706,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/palacio-do-sanduiche---hamburgueria-lidice/cb19d97b-f1a6-4e9b-8361-0b4647146737,Palácio do Sanduíche - Hamburgueria,"Av. Rondon Pacheco, 3845",Lidice,Uberlandia,MG,38400-050,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/maui-acai-presidente-roosevelt/5850771d-85eb-41aa-a815-0834c8a90364,Mauí Açai,"Rua Ordália Carneiro Oliveira, 130",Presidente Roosevelt,Uberlandia,MG,38401-190,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/vovo-dinha-salgados-presidente-roosevelt/62e25ae7-efe3-4849-8ab8-03555be3ae8c,Vovó Dinha Salgados,"Rua Ernesto Vicentini, 380",Presidente Roosevelt,Uberlandia,MG,38401-062,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/villa-finotti-santa-monica/4ea10744-077f-4834-ad24-a40cce1c206e,Villa Finotti,"Avenida José Paes de Almeida, 500",Santa Mônica,Uberlandia,MG,38408-140,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/ki-acai-bom-pacaembu/34c16dde-ced6-4064-aba3-a08f2d30941a,Ki Açaí Bom,"Rua 7 de Setembro, 13",Pacaembu,Uberlandia,MG,38401-543,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/bemformoso-presentes-granada/347db56b-3dc7-44eb-ae02-d6f7fce735e3,Bemformoso Presentes,"Rua dos Cactos, 355",Granada,Uberlandia,MG,38410-658,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/estacao-burger-house-tibery/ec9abb82-ad61-4366-8cd3-722c08f1f977,Estação Burger House,"Avenida Benjamin Magalhaes, 994",Tibery,Uberlandia,MG,00038-405,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/pure-restaurante-saraiva/d2fd2738-c067-4243-ab5c-59ced31ca59e,Purê Restaurante,"Rua Édson de Barros, 80",Saraiva,Uberlandia,MG,38408-018,2025-06-15 15:15:41
